Title,Rating,Votes,Plot,Year,Budget,Opening_Weekend_US_Canada,Gross_US_Canada,Gross_Worldwide
Tenet,7.3, (630K),"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",2020,"$205,000,000 (estimated)","$9,353,090 ","$58,504,105 ","$365,304,105 "
Soul,8, (408K),"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",2020,N/A,"$431,840 ","$946,154 ","$121,977,511 "
A Quiet Place Part II,7.2, (304K),"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",2020,"$61,000,000 (estimated)","$47,547,231 ","$160,072,261 ","$297,372,261 "
Wonder Woman 1984,5.4, (302K),"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest.",2020,"$200,000,000 (estimated)","$16,701,957 ","$46,801,036 ","$169,601,036 "
Extraction,6.8, (278K),"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",2020,"$65,000,000 (estimated)",N/A,N/A,N/A
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,6.1, (274K),"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",2020,"$84,500,000 (estimated)","$33,010,017 ","$84,172,791 ","$205,537,933 "
The Invisible Man,7.1, (271K),"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",2020,"$7,000,000 (estimated)","$28,205,665 ","$70,410,000 ","$144,492,724 "
Enola Holmes,6.6, (233K),"When Enola Holmes, Sherlock's sister, discovers her mother is missing, she endeavors to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy.",2020,"$20,000,000 (estimated)",N/A,N/A,N/A
Promising Young Woman,7.5, (225K),"Nothing in Cassie's life is what it appears to be - she's wickedly smart, tantalizingly cunning, and she's living a secret double life. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",2020,N/A,"$719,305 ","$6,460,965 ","$18,854,166 "
The Father,8.2, (213K),"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",2020,"$6,000,000 (estimated)",N/A,"$2,122,771 ","$24,048,935 "
Another Round,7.7, (213K),Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,2020,N/A,N/A,N/A,"$12,745,392 "
The Trial of the Chicago 7,7.7, (200K),"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",2020,"$35,000,000 (estimated)",N/A,N/A,N/A
Palm Springs,7.4, (199K),"Nyles and Sarah find themselves stuck in a time loop and living the same day over and over again. They are drawn to each other, but certain revelations threaten their budding romance.",2020,N/A,"$164,000 ","$164,000 ","$1,512,871 "
Nomadland,7.3, (193K),"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",2020,"$5,000,000 (estimated)","$503,000 ","$3,700,000 ","$39,458,207 "
The Old Guard,6.7, (192K),"A covert group of tight-knit mercenaries with an inability to die have fought to protect the world for centuries. But when their abilities are suddenly exposed, they need to eliminate the threat of those who seek to replicate their power.",2020,"$70,000,000 (estimated)",N/A,N/A,N/A
Bad Boys for Life,6.5, (191K),Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,2020,"$90,000,000 (estimated)","$62,504,105 ","$206,305,244 ","$426,505,244 "
Sonic the Hedgehog,6.5, (181K),"Taking refuge on Earth, when Sonic uses his incredible speed and accidentally knock out the power in part of the United States, he catches the attention of Dr. Robotnik and must stop him from using his unique power for world domination.",2020,"$85,000,000 (estimated)","$58,018,348 ","$148,974,665 ","$319,715,683 "
Onward,7.4, (179K),"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries.",2020,"$175,000,000 (estimated)","$39,119,861 ","$61,555,145 ","$141,940,042 "
Mulan,5.8, (164K),"To keep her ailing father from serving in the Imperial Army, a fearless young woman disguises herself as a man and battles northern invaders in China.",2020,"$200,000,000 (estimated)",N/A,N/A,"$69,965,374 "
The Devil All the Time,7.1, (162K),Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality,2020,N/A,N/A,N/A,N/A
Borat Subsequent Moviefilm,6.6, (160K),"Borat returns to America from Kazakhstan to America, this time to reveal more about the American culture, the COVID-19 pandemic, and the political elections.",2020,N/A,N/A,N/A,N/A
I Care a Lot,6.4, (154K),A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,2020,"$14,000,000 (estimated)",N/A,N/A,"$1,351,662 "
Love and Monsters,6.9, (153K),"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his high school sweetheart.",2020,"$30,000,000 (estimated)","$270,302 ","$1,070,714 ","$1,070,714 "
Greenland,6.4, (146K),A family struggles for survival in the face of a cataclysmic natural disaster.,2020,"$34,000,000 (estimated)",N/A,N/A,"$52,300,000 "
The Hunt,6.6, (144K),"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",2020,"$14,000,000 (estimated)","$5,304,455 ","$5,812,500 ","$10,550,350 "
Dil Bechara,8.3, (136K),"The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group.",2020,N/A,N/A,N/A,"$45,171 "
Soorarai Pottru,8.7, (128K),"A determined villager challenges the aviation industry's elite by pursuing his vision of affordable air travel for all, despite numerous obstacles and setbacks",2020,"₹150,000,000 (estimated)",N/A,N/A,N/A
Hamilton,8.3, (127K),"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",2020,N/A,N/A,N/A,N/A
Greyhound,7, (124K),"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.",2020,"$50,300,000 (estimated)",N/A,N/A,N/A
Eurovision Song Contest: The Story of Fire Saga,6.5, (106K),"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",2020,N/A,N/A,N/A,N/A
Run,6.7, (105K),"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",2020,N/A,N/A,N/A,"$5,184,368 "
I'm Thinking of Ending Things,6.5, (105K),"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.",2020,N/A,N/A,N/A,N/A
365 Days,3.3, (104K),"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",2020,N/A,N/A,N/A,"$9,458,590 "
Minari,7.4, (104K),"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",2020,"$2,000,000 (estimated)","$193,460 ","$3,110,580 ","$15,288,578 "
