Title,Rating,Votes,Plot,Year,Budget,Opening_Weekend_US_Canada,Gross_US_Canada,Gross_Worldwide,ROI
Tenet,7.3,630000.0,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",2020,205000000.0,9353090.0,58504105.0,365304105.0,1.0673571219512195
Soul,8.0,408000.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",2020,79617542.01623377,431840.0,946154.0,121977511.0,0.5439269021258687
A Quiet Place Part II,7.2,304000.0,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",2020,61000000.0,47547231.0,160072261.0,297372261.0,6.499090524590164
Wonder Woman 1984,5.4,302000.0,"Wonder Woman finds herself battling two opponents, Maxwell Lord, a shrewd entrepreneur, and Barbara Minerva, a friend-turned-foe. Meanwhile, she also ends up crossing paths with her love interest.",2020,200000000.0,16701957.0,46801036.0,169601036.0,0.08201036
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,6.1,274000.0,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord.",2020,84500000.0,33010017.0,84172791.0,205537933.0,2.428529278106509
The Invisible Man,7.1,271000.0,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",2020,7000000.0,28205665.0,70410000.0,144492724.0,29.700389142857144
Promising Young Woman,7.5,225000.0,"Nothing in Cassie's life is what it appears to be - she's wickedly smart, tantalizingly cunning, and she's living a secret double life. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",2020,79617542.01623377,719305.0,6460965.0,18854166.0,-0.6820407870059801
The Father,8.2,213000.0,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",2020,6000000.0,25573142.690265488,2122771.0,24048935.0,3.361951
Palm Springs,7.4,199000.0,"Nyles and Sarah find themselves stuck in a time loop and living the same day over and over again. They are drawn to each other, but certain revelations threaten their budding romance.",2020,79617542.01623377,164000.0,164000.0,1512871.0,-0.9789384228960737
Nomadland,7.3,193000.0,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",2020,5000000.0,503000.0,3700000.0,39458207.0,7.6316414
Bad Boys for Life,6.5,191000.0,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,2020,90000000.0,62504105.0,206305244.0,426505244.0,6.031227644444445
Sonic the Hedgehog,6.5,181000.0,"Taking refuge on Earth, when Sonic uses his incredible speed and accidentally knock out the power in part of the United States, he catches the attention of Dr. Robotnik and must stop him from using his unique power for world domination.",2020,85000000.0,58018348.0,148974665.0,319715683.0,4.514004094117647
Onward,7.4,179000.0,"Teenage elf brothers Ian and Barley embark on a magical quest to spend one more day with their late father. Like any good adventure, their journey is filled with cryptic maps, impossible obstacles and unimaginable discoveries.",2020,175000000.0,39119861.0,61555145.0,141940042.0,0.16282964
